height,length,width,driveline,engine,gears,transmission,cty,fuel_type,hwy,id,make,model_year,year,hp,torque,model,km_per_l_cty,km_per_l_hwy
140,143,202,All-wheel drive,Audi 3.2L 6 cylinder 250hp 236ft-lbs,6,Automatic,18,Gasoline,25,2009 Audi A3 3.2,Audi,2009 Audi A3,2009,250,236,Audi A3,6.343612334801763,8.810572687224669
140,143,202,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6,Automatic,22,Gasoline,28,2009 Audi A3 2.0 T AT,Audi,2009 Audi A3,2009,200,207,Audi A3,7.75330396475771,9.86784140969163
140,143,202,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6,Manual,21,Gasoline,30,2009 Audi A3 2.0 T,Audi,2009 Audi A3,2009,200,207,Audi A3,7.400881057268723,10.572687224669604
140,143,202,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6,Automatic,21,Gasoline,28,2009 Audi A3 2.0 T Quattro,Audi,2009 Audi A3,2009,200,207,Audi A3,7.400881057268723,9.86784140969163
140,143,202,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,6,Automatic,21,Gasoline,28,2009 Audi A3 2.0 T Quattro,Audi,2009 Audi A3,2009,200,207,Audi A3,7.400881057268723,9.86784140969163
91,17,62,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6,Manual,16,Gasoline,27,2009 Audi A5 3.2,Audi,2009 Audi A5,2009,265,243,Audi A5,5.638766519823789,9.515418502202644
91,17,62,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6,Automatic,17,Gasoline,26,2009 Audi A5 3.2 AT,Audi,2009 Audi A5,2009,265,243,Audi A5,5.991189427312776,9.162995594713657
201,221,191,All-wheel drive,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,6,Automatic,13,Gasoline,18,2009 Audi Q7 4.2,Audi,2009 Audi Q7,2009,350,325,Audi Q7,4.581497797356828,6.343612334801763
201,221,191,All-wheel drive,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,6,Automatic,14,Gasoline,20,2009 Audi Q7 3.6,Audi,2009 Audi Q7,2009,280,266,Audi Q7,4.933920704845815,7.048458149779735
147,96,34,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6,Manual,22,Gasoline,30,2009 Audi A4 Sedan 2.0 T Quattro,Audi,2009 Audi A4 Sedan,2009,211,258,Audi A4 Sedan,7.75330396475771,10.572687224669604
147,96,34,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,6,Automatic,21,Gasoline,27,2009 Audi A4 Sedan 2.0 T Quattro AT,Audi,2009 Audi A4 Sedan,2009,211,258,Audi A4 Sedan,7.400881057268723,9.515418502202644
147,96,34,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,6,Automatic,17,Gasoline,26,2009 Audi A4 Sedan 3.2,Audi,2009 Audi A4 Sedan,2009,265,243,Audi A4 Sedan,5.991189427312776,9.162995594713657
