Title,Year,Genres,Rating,NumVotes
The Birth of a Nation,1915,"Drama,History,War",6.3,22898
Intolerance: Love's Struggle Throughout the Ages,1916,"Drama,History",7.7,14303
The Cabinet of Dr. Caligari,1920,"Fantasy,Horror,Mystery",8.1,57783
The Kid,1921,"Comedy,Drama,Family",8.3,114417
The Phantom Carriage,1921,"Drama,Fantasy,Horror",8.1,10832
Häxan,1922,"Documentary,Fantasy,History",7.7,12558
Nanook of the North,1922,Documentary,7.6,11011
Nosferatu,1922,"Fantasy,Horror",7.9,89238
Our Hospitality,1923,"Comedy,Romance,Thriller",7.8,10271
Safety Last!,1923,"Action,Comedy,Thriller",8.1,18556
The Last Laugh,1924,Drama,8.1,12747
Battleship Potemkin,1925,"Drama,History,Thriller",8.0,53428
The Gold Rush,1925,"Adventure,Comedy,Drama",8.2,101862
The Phantom of the Opera,1925,Horror,7.6,16866
Faust,1926,"Drama,Fantasy,Horror",8.1,14018
The Lodger: A Story of the London Fog,1927,"Crime,Drama,Mystery",7.3,10469
Metropolis,1927,"Drama,Sci-Fi",8.3,161006
The General,1926,"Action,Adventure,Comedy",8.1,81715
Sunrise,1927,"Drama,Romance",8.1,47086
Wings,1927,"Action,Drama,Romance",7.5,11557
The Cameraman,1928,"Comedy,Drama,Family",8.1,10620
The Circus,1928,"Comedy,Romance",8.1,30491
The Passion of Joan of Arc,1928,"Biography,Drama,History",8.1,48261
"Steamboat Bill, Jr.",1928,"Action,Comedy,Drama",7.9,13340
Man with a Movie Camera,1929,"Documentary,Music",8.4,22758
All Quiet on the Western Front,1930,"Drama,War",8.0,57510
Animal Crackers,1930,"Comedy,Musical",7.5,13606
The Blue Angel,1930,"Drama,Music",7.7,13748
Little Caesar,1931,"Action,Crime,Drama",7.2,12203
City Lights,1931,"Comedy,Drama,Romance",8.5,169012
Dracula,1931,"Drama,Fantasy,Horror",7.5,47148
Frankenstein,1931,"Drama,Horror,Sci-Fi",7.8,65673
M,1931,"Crime,Mystery,Thriller",8.3,144427
Monkey Business,1931,"Comedy,Musical",7.5,11437
The Public Enemy,1931,"Crime,Drama",7.7,18011
