Title,Year,Genres,Rating,NumVotes
The Arrival of a Train,1896,"Documentary,Short",7.4,10725
A Trip to the Moon,1902,"Adventure,Comedy,Fantasy",8.2,44512
The Great Train Robbery,1903,"Action,Crime,Short",7.3,17489
The Birth of a Nation,1915,"Drama,History,War",6.3,22898
Intolerance: Love's Struggle Throughout the Ages,1916,"Drama,History",7.7,14303
The Cabinet of Dr. Caligari,1920,"Fantasy,Horror,Mystery",8.1,57783
The Kid,1921,"Comedy,Drama,Family",8.3,114417
The Phantom Carriage,1921,"Drama,Fantasy,Horror",8.1,10832
Häxan,1922,"Documentary,Fantasy,History",7.7,12558
Nanook of the North,1922,Documentary,7.6,11011
Nosferatu,1922,"Fantasy,Horror",7.9,89238
Our Hospitality,1923,"Comedy,Romance,Thriller",7.8,10271
Safety Last!,1923,"Action,Comedy,Thriller",8.1,18556
The Last Laugh,1924,Drama,8.1,12747
Sherlock Jr.,1924,"Action,Comedy,Romance",8.2,42537
Battleship Potemkin,1925,"Drama,History,Thriller",8.0,53428
The Gold Rush,1925,"Adventure,Comedy,Drama",8.2,101862
The Phantom of the Opera,1925,Horror,7.6,16866
Faust,1926,"Drama,Fantasy,Horror",8.1,14018
The Lodger: A Story of the London Fog,1927,"Crime,Drama,Mystery",7.3,10469
Metropolis,1927,"Drama,Sci-Fi",8.3,161006
The General,1926,"Action,Adventure,Comedy",8.1,81715
Sunrise,1927,"Drama,Romance",8.1,47086
Wings,1927,"Action,Drama,Romance",7.5,11557
The Cameraman,1928,"Comedy,Drama,Family",8.1,10620
The Circus,1928,"Comedy,Romance",8.1,30491
The Passion of Joan of Arc,1928,"Biography,Drama,History",8.1,48261
"Steamboat Bill, Jr.",1928,"Action,Comedy,Drama",7.9,13340
Man with a Movie Camera,1929,"Documentary,Music",8.4,22758
Un Chien Andalou,1929,"Fantasy,Horror,Short",7.7,46379
All Quiet on the Western Front,1930,"Drama,War",8.0,57510
Animal Crackers,1930,"Comedy,Musical",7.5,13606
The Blue Angel,1930,"Drama,Music",7.7,13748
Little Caesar,1931,"Action,Crime,Drama",7.2,12203
L'Age d'Or,1930,"Comedy,Drama",7.3,12920
City Lights,1931,"Comedy,Drama,Romance",8.5,169012
Dracula,1931,"Drama,Fantasy,Horror",7.5,47148
Frankenstein,1931,"Drama,Horror,Sci-Fi",7.8,65673
M,1931,"Crime,Mystery,Thriller",8.3,144427
Monkey Business,1931,"Comedy,Musical",7.5,11437
The Public Enemy,1931,"Crime,Drama",7.7,18011
Dr. Jekyll and Mr. Hyde,1931,"Horror,Sci-Fi",7.6,12642
Freaks,1932,"Drama,Horror",7.9,42300
Grand Hotel,1932,"Drama,Romance",7.4,17456
Horse Feathers,1932,"Comedy,Musical,Romance",7.6,11827
I Am a Fugitive from a Chain Gang,1932,"Crime,Drama,Film-Noir",8.2,11713
The Most Dangerous Game,1932,"Action,Adventure,Horror",7.1,10742
The Mummy,1932,"Fantasy,Horror",7.1,23821
Scarface,1932,"Action,Crime,Drama",7.8,25461
The Testament of Dr. Mabuse,1933,"Crime,Horror,Mystery",8.0,11543
Trouble in Paradise,1932,"Comedy,Crime,Romance",8.0,13186
Vampyr,1932,"Fantasy,Horror",7.5,16053
Duck Soup,1933,"Comedy,Musical,War",7.8,55760
42nd Street,1933,"Comedy,Drama,Musical",7.4,10832
The Invisible Man,1933,"Horror,Sci-Fi",7.7,30957
King Kong,1933,"Adventure,Horror,Sci-Fi",7.9,79434
L'Atalante,1934,"Comedy,Drama,Romance",7.8,14583
It Happened One Night,1934,"Comedy,Romance",8.1,94692
The Man Who Knew Too Much,1934,"Crime,Mystery,Thriller",6.8,17130
The Thin Man,1934,"Comedy,Crime,Mystery",8.0,26797
Triumph of the Will,1935,"Documentary,History,War",7.3,14979
The 39 Steps,1935,"Crime,Mystery,Thriller",7.6,52281
The Bride of Frankenstein,1935,"Drama,Horror,Sci-Fi",7.8,43739
Captain Blood,1935,"Action,Adventure,History",7.7,13102
Mutiny on the Bounty,1935,"Adventure,Biography,Drama",7.7,20941
A Night at the Opera,1935,"Comedy,Music,Musical",7.9,30695
Top Hat,1935,"Comedy,Musical,Romance",7.7,17558
Fury,1936,"Crime,Drama,Film-Noir",7.9,11296
Modern Times,1936,"Comedy,Drama,Family",8.5,219550
Mr. Deeds Goes to Town,1936,"Comedy,Drama,Romance",7.9,19835
My Man Godfrey,1936,"Comedy,Drama,Romance",8.0,21323
The Petrified Forest,1936,"Crime,Drama,Romance",7.5,12593
Sabotage,1936,"Crime,Thriller",7.0,15110
Swing Time,1936,"Comedy,Musical,Romance",7.5,12406
The Awful Truth,1937,"Comedy,Romance",7.7,17919
A Day at the Races,1937,"Comedy,Musical,Sport",7.6,12996
The Grand Illusion,1937,"Drama,War",8.1,33998
Lost Horizon,1937,"Adventure,Drama,Fantasy",7.7,12064
Snow White and the Seven Dwarfs,1937,"Animation,Family,Fantasy",7.6,182534
The Adventures of Robin Hood,1938,"Action,Adventure,Romance",7.9,47346
Alexander Nevsky,1938,"Action,Biography,Drama",7.6,10527
Angels with Dirty Faces,1938,"Crime,Drama,Film-Noir",7.9,19924
Bringing Up Baby,1938,"Comedy,Family,Romance",7.8,55559
Holiday,1938,"Comedy,Romance",7.8,14859
Jezebel,1938,"Drama,Romance",7.5,12093
The Lady Vanishes,1938,"Mystery,Thriller",7.8,47796
You Can't Take It with You,1938,"Comedy,Drama,Romance",7.9,23440
Dark Victory,1939,"Drama,Romance",7.5,10046
Destry Rides Again,1939,"Comedy,Western",7.7,10348
Gone with the Wind,1939,"Drama,History,Romance",8.1,291648
Gunga Din,1939,"Adventure,Comedy,War",7.3,11026
The Hunchback of Notre Dame,1939,"Drama,Romance",7.8,10431
Mr. Smith Goes to Washington,1939,"Comedy,Drama",8.1,107531
Ninotchka,1939,"Comedy,Romance",7.9,19128
Only Angels Have Wings,1939,"Adventure,Drama,Romance",7.7,12629
The Roaring Twenties,1939,"Crime,Drama,Film-Noir",8.0,12843
The Rules of the Game,1939,"Comedy,Drama",8.0,26860
Stagecoach,1939,"Adventure,Drama,Western",7.8,43968
The Wizard of Oz,1939,"Adventure,Family,Fantasy",8.0,372373
The Women,1939,"Comedy,Drama",7.8,12654
Wuthering Heights,1939,"Drama,Romance",7.6,16560
Fantasia,1940,"Animation,Family,Fantasy",7.7,89082
Foreign Correspondent,1940,"Action,Romance,Thriller",7.5,18659
The Grapes of Wrath,1940,"Drama,History",8.0,85921
The Great Dictator,1940,"Comedy,Drama,War",8.4,204417
His Girl Friday,1940,"Comedy,Drama,Romance",7.9,53954
The Letter,1940,"Crime,Drama,Film-Noir",7.6,11812
The Philadelphia Story,1940,"Comedy,Romance",7.9,63902
Pinocchio,1940,"Animation,Comedy,Family",7.4,132180
Rebecca,1940,"Drama,Mystery,Romance",8.1,124771
The Shop Around the Corner,1940,"Comedy,Drama,Romance",8.1,28663
The Thief of Bagdad,1940,"Adventure,Family,Fantasy",7.5,12002
Ball of Fire,1941,"Comedy,Romance",7.8,11181
Citizen Kane,1941,"Drama,Mystery",8.3,406279
Dumbo,1941,"Animation,Drama,Family",7.2,120436
High Sierra,1941,"Action,Adventure,Crime",7.5,15232
How Green Was My Valley,1941,"Drama,Family",7.7,21512
The Lady Eve,1941,"Comedy,Romance",7.8,19297
The Little Foxes,1941,"Drama,Romance",8.0,10552
The Maltese Falcon,1941,"Film-Noir,Mystery",8.0,149499
Meet John Doe,1941,"Comedy,Drama,Romance",7.6,12259
Sergeant York,1941,"Biography,Drama,History",7.7,15457
