id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary
1,Bulbasaur,grass,poison,45,49,49,65,65,45,1,0
2,Ivysaur,grass,poison,60,62,63,80,80,60,1,0
3,Venusaur,grass,poison,80,100,123,122,120,80,1,0
4,Charmander,fire,,39,52,43,60,50,65,1,0
5,Charmeleon,fire,,58,64,58,80,65,80,1,0
6,Charizard,fire,flying,78,104,78,159,115,100,1,0
7,Squirtle,water,,44,48,65,50,64,43,1,0
8,Wartortle,water,,59,63,80,65,80,58,1,0
9,Blastoise,water,,79,103,120,135,115,78,1,0
10,Caterpie,bug,,45,30,35,20,20,45,1,0
11,Metapod,bug,,50,20,55,25,25,30,1,0
12,Butterfree,bug,flying,60,45,50,90,80,70,1,0
13,Weedle,bug,poison,40,35,30,20,20,50,1,0
14,Kakuna,bug,poison,45,25,50,25,25,35,1,0
15,Beedrill,bug,poison,65,150,40,15,80,145,1,0
16,Pidgey,normal,flying,40,45,40,35,35,56,1,0
17,Pidgeotto,normal,flying,63,60,55,50,50,71,1,0
18,Pidgeot,normal,flying,83,80,80,135,80,121,1,0
19,Rattata,normal,dark,30,56,35,25,35,72,1,0
20,Raticate,normal,dark,75,71,70,40,80,77,1,0
21,Spearow,normal,flying,40,60,30,31,31,70,1,0
22,Fearow,normal,flying,65,90,65,61,61,100,1,0
23,Ekans,poison,,35,60,44,40,54,55,1,0
24,Arbok,poison,,60,95,69,65,79,80,1,0
25,Pikachu,electric,,35,55,40,50,50,90,1,0
26,Raichu,electric,electric,60,85,50,95,85,110,1,0
27,Sandshrew,ground,ice,50,75,90,10,35,40,1,0
28,Sandslash,ground,ice,75,100,120,25,65,65,1,0
29,Nidoran♀,poison,,55,47,52,40,40,41,1,0
30,Nidorina,poison,,70,62,67,55,55,56,1,0
31,Nidoqueen,poison,ground,90,92,87,75,85,76,1,0
32,Nidoran♂,poison,,46,57,40,40,40,50,1,0
33,Nidorino,poison,,61,72,57,55,55,65,1,0
34,Nidoking,poison,ground,81,102,77,85,75,85,1,0
35,Clefairy,fairy,,70,45,48,60,65,35,1,0
36,Clefable,fairy,,95,70,73,95,90,60,1,0
37,Vulpix,fire,ice,38,41,40,50,65,65,1,0
38,Ninetales,fire,ice,73,67,75,81,100,109,1,0
39,Jigglypuff,normal,fairy,115,45,20,45,25,20,1,0
40,Wigglytuff,normal,fairy,140,70,45,85,50,45,1,0
41,Zubat,poison,flying,40,45,35,30,40,55,1,0
42,Golbat,poison,flying,75,80,70,65,75,90,1,0
43,Oddish,grass,poison,45,50,55,75,65,30,1,0
44,Gloom,grass,poison,60,65,70,85,75,40,1,0
45,Vileplume,grass,poison,75,80,85,110,90,50,1,0
46,Paras,bug,grass,35,70,55,45,55,25,1,0
47,Parasect,bug,grass,60,95,80,60,80,30,1,0
48,Venonat,bug,poison,60,55,50,40,55,45,1,0
49,Venomoth,bug,poison,70,65,60,90,75,90,1,0
50,Diglett,ground,ground,10,55,30,35,45,90,1,0
51,Dugtrio,ground,ground,35,100,60,50,70,110,1,0
52,Meowth,normal,dark,40,35,35,50,40,90,1,0
53,Persian,normal,dark,65,60,60,75,65,115,1,0
54,Psyduck,water,,50,52,48,65,50,55,1,0
55,Golduck,water,,80,82,78,95,80,85,1,0
56,Mankey,fighting,,40,80,35,35,45,70,1,0
57,Primeape,fighting,,65,105,60,60,70,95,1,0
58,Growlithe,fire,,55,70,45,70,50,60,1,0
59,Arcanine,fire,,90,110,80,100,80,95,1,0
60,Poliwag,water,,40,50,40,40,40,90,1,0
61,Poliwhirl,water,,65,65,65,50,50,90,1,0
62,Poliwrath,water,fighting,90,95,95,70,90,70,1,0
63,Abra,psychic,,25,20,15,105,55,90,1,0
64,Kadabra,psychic,,40,35,30,120,70,105,1,0
65,Alakazam,psychic,,55,50,65,175,105,150,1,0
66,Machop,fighting,,70,80,50,35,35,35,1,0
67,Machoke,fighting,,80,100,70,50,60,45,1,0
68,Machamp,fighting,,90,130,80,65,85,55,1,0
69,Bellsprout,grass,poison,50,75,35,70,30,40,1,0
70,Weepinbell,grass,poison,65,90,50,85,45,55,1,0
71,Victreebel,grass,poison,80,105,65,100,70,70,1,0
72,Tentacool,water,poison,40,40,35,50,100,70,1,0
73,Tentacruel,water,poison,80,70,65,80,120,100,1,0
74,Geodude,rock,ground,40,80,100,30,30,20,1,0
75,Graveler,rock,ground,55,95,115,45,45,35,1,0
76,Golem,rock,ground,80,120,130,55,65,45,1,0
77,Ponyta,fire,,50,85,55,65,65,90,1,0
78,Rapidash,fire,,65,100,70,80,80,105,1,0
79,Slowpoke,water,psychic,90,65,65,40,40,15,1,0
80,Slowbro,water,psychic,95,75,180,130,80,30,1,0
81,Magnemite,electric,steel,25,35,70,95,55,45,1,0
82,Magneton,electric,steel,50,60,95,120,70,70,1,0
83,Farfetch'd,normal,flying,52,90,55,58,62,60,1,0
84,Doduo,normal,flying,35,85,45,35,35,75,1,0
85,Dodrio,normal,flying,60,110,70,60,60,110,1,0
86,Seel,water,,65,45,55,45,70,45,1,0
87,Dewgong,water,ice,90,70,80,70,95,70,1,0
88,Grimer,poison,poison,80,80,50,40,50,25,1,0
89,Muk,poison,poison,105,105,75,65,100,50,1,0
90,Shellder,water,,30,65,100,45,25,40,1,0
91,Cloyster,water,ice,50,95,180,85,45,70,1,0
92,Gastly,ghost,poison,30,35,30,100,35,80,1,0
93,Haunter,ghost,poison,45,50,45,115,55,95,1,0
94,Gengar,ghost,poison,60,65,80,170,95,130,1,0
95,Onix,rock,ground,35,45,160,30,45,70,1,0
96,Drowzee,psychic,,60,48,45,43,90,42,1,0
97,Hypno,psychic,,85,73,70,73,115,67,1,0
98,Krabby,water,,30,105,90,25,25,50,1,0
99,Kingler,water,,55,130,115,50,50,75,1,0
100,Voltorb,electric,,40,30,50,55,55,100,1,0
101,Electrode,electric,,60,50,70,80,80,150,1,0
102,Exeggcute,grass,psychic,60,40,80,60,45,40,1,0
103,Exeggutor,grass,psychic,95,105,85,125,75,45,1,0
104,Cubone,ground,,50,50,95,40,50,35,1,0
105,Marowak,ground,fire,60,80,110,50,80,45,1,0
106,Hitmonlee,fighting,,50,120,53,35,110,87,1,0
107,Hitmonchan,fighting,,50,105,79,35,110,76,1,0
108,Lickitung,normal,,90,55,75,60,75,30,1,0
109,Koffing,poison,,40,65,95,60,45,35,1,0
110,Weezing,poison,,65,90,120,85,70,60,1,0
111,Rhyhorn,ground,rock,80,85,95,30,30,25,1,0
112,Rhydon,ground,rock,105,130,120,45,45,40,1,0
113,Chansey,normal,,250,5,5,35,105,50,1,0
114,Tangela,grass,,65,55,115,100,40,60,1,0
115,Kangaskhan,normal,,105,125,100,60,100,100,1,0
116,Horsea,water,,30,40,70,70,25,60,1,0
117,Seadra,water,,55,65,95,95,45,85,1,0
118,Goldeen,water,,45,67,60,35,50,63,1,0
119,Seaking,water,,80,92,65,65,80,68,1,0
120,Staryu,water,,30,45,55,70,55,85,1,0
121,Starmie,water,psychic,60,75,85,100,85,115,1,0
122,Mr. Mime,psychic,fairy,40,45,65,100,120,90,1,0
123,Scyther,bug,flying,70,110,80,55,80,105,1,0
124,Jynx,ice,psychic,65,50,35,115,95,95,1,0
125,Electabuzz,electric,,65,83,57,95,85,105,1,0
126,Magmar,fire,,65,95,57,100,85,93,1,0
127,Pinsir,bug,,65,155,120,65,90,105,1,0
128,Tauros,normal,,75,100,95,40,70,110,1,0
129,Magikarp,water,,20,10,55,15,20,80,1,0
130,Gyarados,water,flying,95,155,109,70,130,81,1,0
131,Lapras,water,ice,130,85,80,85,95,60,1,0
132,Ditto,normal,,48,48,48,48,48,48,1,0
133,Eevee,normal,,55,55,50,45,65,55,1,0
134,Vaporeon,water,,130,65,60,110,95,65,1,0
135,Jolteon,electric,,65,65,60,110,95,130,1,0
136,Flareon,fire,,65,130,60,95,110,65,1,0
137,Porygon,normal,,65,60,70,85,75,40,1,0
138,Omanyte,rock,water,35,40,100,90,55,35,1,0
139,Omastar,rock,water,70,60,125,115,70,55,1,0
140,Kabuto,rock,water,30,80,90,55,45,55,1,0
141,Kabutops,rock,water,60,115,105,65,70,80,1,0
142,Aerodactyl,rock,flying,80,135,85,70,95,150,1,0
143,Snorlax,normal,,160,110,65,65,110,30,1,0
144,Articuno,ice,flying,90,85,100,95,125,85,1,1
145,Zapdos,electric,flying,90,90,85,125,90,100,1,1
146,Moltres,fire,flying,90,100,90,125,85,90,1,1
147,Dratini,dragon,,41,64,45,50,50,50,1,0
148,Dragonair,dragon,,61,84,65,70,70,70,1,0
149,Dragonite,dragon,flying,91,134,95,100,100,80,1,0
150,Mewtwo,psychic,,106,150,70,194,120,140,1,1
151,Mew,psychic,,100,100,100,100,100,100,1,1
152,Chikorita,grass,,45,49,65,49,65,45,2,0
153,Bayleef,grass,,60,62,80,63,80,60,2,0
154,Meganium,grass,,80,82,100,83,100,80,2,0
155,Cyndaquil,fire,,39,52,43,60,50,65,2,0
156,Quilava,fire,,58,64,58,80,65,80,2,0
157,Typhlosion,fire,,78,84,78,109,85,100,2,0
158,Totodile,water,,50,65,64,44,48,43,2,0
159,Croconaw,water,,65,80,80,59,63,58,2,0
160,Feraligatr,water,,85,105,100,79,83,78,2,0
161,Sentret,normal,,35,46,34,35,45,20,2,0
162,Furret,normal,,85,76,64,45,55,90,2,0
163,Hoothoot,normal,flying,60,30,30,36,56,50,2,0
164,Noctowl,normal,flying,100,50,50,86,96,70,2,0
165,Ledyba,bug,flying,40,20,30,40,80,55,2,0
166,Ledian,bug,flying,55,35,50,55,110,85,2,0
167,Spinarak,bug,poison,40,60,40,40,40,30,2,0
168,Ariados,bug,poison,70,90,70,60,70,40,2,0
169,Crobat,poison,flying,85,90,80,70,80,130,2,0
170,Chinchou,water,electric,75,38,38,56,56,67,2,0
171,Lanturn,water,electric,125,58,58,76,76,67,2,0
172,Pichu,electric,,20,40,15,35,35,60,2,0
173,Cleffa,fairy,,50,25,28,45,55,15,2,0
174,Igglybuff,normal,fairy,90,30,15,40,20,15,2,0
175,Togepi,fairy,,35,20,65,40,65,20,2,0
176,Togetic,fairy,flying,55,40,85,80,105,40,2,0
177,Natu,psychic,flying,40,50,45,70,45,70,2,0
178,Xatu,psychic,flying,65,75,70,95,70,95,2,0
179,Mareep,electric,,55,40,40,65,45,35,2,0
180,Flaaffy,electric,,70,55,55,80,60,45,2,0
181,Ampharos,electric,,90,95,105,165,110,45,2,0
182,Bellossom,grass,,75,80,95,90,100,50,2,0
183,Marill,water,fairy,70,20,50,20,50,40,2,0
184,Azumarill,water,fairy,100,50,80,60,80,50,2,0
185,Sudowoodo,rock,,70,100,115,30,65,30,2,0
186,Politoed,water,,90,75,75,90,100,70,2,0
187,Hoppip,grass,flying,35,35,40,35,55,50,2,0
188,Skiploom,grass,flying,55,45,50,45,65,80,2,0
189,Jumpluff,grass,flying,75,55,70,55,95,110,2,0
190,Aipom,normal,,55,70,55,40,55,85,2,0
191,Sunkern,grass,,30,30,30,30,30,30,2,0
192,Sunflora,grass,,75,75,55,105,85,30,2,0
193,Yanma,bug,flying,65,65,45,75,45,95,2,0
194,Wooper,water,ground,55,45,45,25,25,15,2,0
195,Quagsire,water,ground,95,85,85,65,65,35,2,0
196,Espeon,psychic,,65,65,60,130,95,110,2,0
197,Umbreon,dark,,95,65,110,60,130,65,2,0
198,Murkrow,dark,flying,60,85,42,85,42,91,2,0
199,Slowking,water,psychic,95,75,80,100,110,30,2,0
200,Misdreavus,ghost,,60,60,60,85,85,85,2,0
201,Unown,psychic,,48,72,48,72,48,48,2,0
202,Wobbuffet,psychic,,190,33,58,33,58,33,2,0
203,Girafarig,normal,psychic,70,80,65,90,65,85,2,0
204,Pineco,bug,,50,65,90,35,35,15,2,0
205,Forretress,bug,steel,75,90,140,60,60,40,2,0
206,Dunsparce,normal,,100,70,70,65,65,45,2,0
207,Gligar,ground,flying,65,75,105,35,65,85,2,0
208,Steelix,steel,ground,75,125,230,55,95,30,2,0
209,Snubbull,fairy,,60,80,50,40,40,30,2,0
210,Granbull,fairy,,90,120,75,60,60,45,2,0
211,Qwilfish,water,poison,65,95,85,55,55,85,2,0
212,Scizor,bug,steel,70,150,140,65,100,75,2,0
213,Shuckle,bug,rock,20,10,230,10,230,5,2,0
214,Heracross,bug,fighting,80,185,115,40,105,75,2,0
215,Sneasel,dark,ice,55,95,55,35,75,115,2,0
216,Teddiursa,normal,,60,80,50,50,50,40,2,0
217,Ursaring,normal,,90,130,75,75,75,55,2,0
218,Slugma,fire,,40,40,40,70,40,20,2,0
219,Magcargo,fire,rock,60,50,120,90,80,30,2,0
220,Swinub,ice,ground,50,50,40,30,30,50,2,0
221,Piloswine,ice,ground,100,100,80,60,60,50,2,0
222,Corsola,water,rock,65,55,95,65,95,35,2,0
223,Remoraid,water,,35,65,35,65,35,65,2,0
224,Octillery,water,,75,105,75,105,75,45,2,0
